City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Krasnosel'kup,100,RU,1613822555,84,65.7,82.4667,-28.5,5.77
Puerto Ayora,97,EC,1613822556,93,-0.7393,-90.3518,75.0,3.0
Samfya,100,ZM,1613822557,59,-11.3649,29.5565,81.01,1.21
Bagdarin,98,RU,1613822030,87,54.4333,113.6,-9.08,1.9
Tuatapere,8,NZ,1613822558,89,-46.1333,167.6833,54.0,1.99
Cabo San Lucas,0,MX,1613822358,67,22.8909,-109.9124,57.99,1.01
Chernyshevskiy,65,RU,1613822066,86,63.0128,112.4714,-29.96,3.38
Busselton,0,AU,1613822561,76,-33.65,115.3333,66.99,3.0
Castro,92,BR,1613822299,89,-24.7911,-50.0119,65.37,6.29
Ilulissat,75,GL,1613822562,55,69.2167,-51.1,-0.4,9.22
Las Palmas,0,ES,1613822563,53,28.4204,-14.0131,71.6,14.97
Napoleon,20,US,1613822563,100,41.3923,-84.1252,8.6,10.36
Raudeberg,100,NO,1613822564,87,61.9875,5.1352,46.99,14.34
Bathsheba,40,BB,1613822041,61,13.2167,-59.5167,78.8,19.57
Iskateley,100,RU,1613822566,87,67.6803,53.1512,-19.53,8.5
Khatanga,10,RU,1613822567,84,71.9667,102.5,-29.92,7.67
East London,20,ZA,1613822568,73,-33.0153,27.9116,75.2,19.57
High Level,90,CA,1613822568,79,58.5169,-117.136,14.0,4.61
Guerrero Negro,0,MX,1613822569,75,27.9769,-114.0611,56.3,7.18
Redwater,90,US,1613822570,93,33.3582,-94.2544,21.99,4.61
Barrow,90,US,1613822487,71,71.2906,-156.7887,-7.6,5.75
Half Moon Bay,75,US,1613822571,76,37.4636,-122.4286,50.0,21.85
Butaritari,81,KI,1613822573,81,3.0707,172.7902,81.12,15.93
Atuona,26,PF,1613822574,79,-9.8,-139.0333,79.03,12.55
Saint-Philippe,75,RE,1613822575,66,-21.3585,55.7679,87.8,9.22
Provideniya,21,RU,1613822576,85,64.3833,-173.3,-10.93,7.05
Hithadhoo,46,MV,1613822577,73,-0.6,73.0833,83.41,8.99
Bethel,90,US,1613822578,80,41.3712,-73.414,30.2,5.75
Kaitangata,4,NZ,1613822579,88,-46.2817,169.8464,60.01,3.58
Bredasdorp,23,ZA,1613822580,33,-34.5322,20.0403,75.2,17.27
Tasiilaq,90,GL,1613822581,93,65.6145,-37.6368,33.8,27.63
Shingū,0,JP,1613822582,79,33.7333,135.9833,48.43,8.16
Ushuaia,75,AR,1613822384,93,-54.8,-68.3,46.4,3.44
Waddān,34,LY,1613822584,20,29.1614,16.139,70.21,2.19
Vila Velha,90,BR,1613822585,89,-20.3297,-40.2925,78.8,6.91
Cherskiy,30,RU,1613822586,84,68.75,161.3,-33.86,2.35
Joensuu,90,FI,1613822587,85,62.6012,29.7632,12.99,10.36
