City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hong Kong,43,HK,1613792499,62,22.2855,114.1577,71.01,1.01
Kiryat Gat,20,IL,1613792748,100,31.61,34.7642,46.0,5.57
Lüderitz,0,NA,1613792748,65,-26.6481,15.1594,62.46,19.06
Cape Town,40,ZA,1613792475,63,-33.9258,18.4232,64.4,4.61
Cairns,90,AU,1613792749,69,-16.9167,145.7667,82.4,9.22
Saint-Philippe,0,RE,1613792749,74,-21.3585,55.7679,82.4,4.61
Upernavik,65,GL,1613792749,86,72.7868,-56.1549,-21.21,10.45
Polis,20,CY,1613792749,75,35.0367,32.4264,39.2,8.05
Ahipara,0,NZ,1613792749,61,-35.1667,173.1667,70.68,4.41
Abnūb,0,EG,1613792749,81,27.2696,31.1511,46.4,6.91
Dikson,97,RU,1613792749,87,73.5069,80.5464,-19.01,9.01
Berlevåg,4,NO,1613792749,87,70.8578,29.0864,13.12,11.61
Jamestown,90,US,1613792750,86,42.097,-79.2353,19.0,12.66
Hermanus,95,ZA,1613792750,90,-34.4187,19.2345,61.0,7.72
Ribeira Grande,100,PT,1613792750,64,38.5167,-28.7,52.9,24.14
Beringovskiy,90,RU,1613792750,88,63.05,179.3167,-15.18,12.08
Port Alfred,21,ZA,1613792750,94,-33.5906,26.891,69.01,5.01
Mount Isa,40,AU,1613792750,40,-20.7333,139.5,91.4,10.36
Ostrovnoy,24,RU,1613792751,90,68.0531,39.5131,-3.91,5.82
Punta Arenas,90,CL,1613792751,71,-53.15,-70.9167,50.0,5.75
Nizhneudinsk,95,RU,1613792751,87,54.9076,99.0276,9.23,19.64
Alofi,32,NU,1613792751,78,-19.0595,-169.9187,82.4,14.97
Airai,100,TL,1613792751,86,-8.9266,125.4092,71.46,4.76
Mataura,0,NZ,1613792751,28,-46.1927,168.8643,77.52,4.16
Atuona,5,PF,1613792751,78,-9.8,-139.0333,79.47,15.3
Vostok,100,RU,1613792470,96,46.4856,135.8833,14.9,12.35
Ust'-Uda,100,RU,1613792751,96,54.1742,103.0304,22.37,11.68
Bathsheba,20,BB,1613792752,69,13.2167,-59.5167,77.0,18.41
